,gender,seniorcitizen,partner,dependents,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,tenure,phoneservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,cust-loyality,family_member,subscription_count
0,Female,old,Yes,No,unknown,DSL,No,Yes,No,No,No,No,1,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,New,Married,1
1,Male,old,No,No,No,DSL,Yes,No,Yes,No,No,No,34,Yes,One year,No,Mailed check,56.95,1889.5,No,Loyal,Single,2
2,Male,old,No,No,No,DSL,Yes,Yes,No,No,No,No,2,Yes,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,New,Single,2
3,Male,old,No,No,unknown,DSL,Yes,No,Yes,Yes,No,No,45,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,Loyal,Single,3
4,Female,old,No,No,No,Fiber optic,No,No,No,No,No,No,2,Yes,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,New,Single,0
5,Female,old,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,8,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,New,Single,3
6,Male,old,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,22,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,Somewhat Loyal,Singe With Dependents,2
7,Female,old,No,No,unknown,DSL,Yes,No,No,No,No,No,10,No,Month-to-month,No,Mailed check,29.75,301.9,No,New,Single,1
8,Female,old,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,28,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Loyal,Married,4
9,Male,old,No,Yes,No,DSL,Yes,Yes,No,No,No,No,62,Yes,One year,No,Bank transfer (automatic),56.15,3487.95,No,Very Loyal,Singe With Dependents,2
10,Male,old,Yes,Yes,No,DSL,Yes,No,No,No,No,No,13,Yes,Month-to-month,Yes,Mailed check,49.95,587.45,No,Somewhat Loyal,Married With Dependents ,1
11,Male,old,No,No,No,No,No,No,No,No,No,No,16,Yes,Two year,No,Credit card (automatic),18.95,326.8,No,Somewhat Loyal,Single,0
12,Male,old,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,58,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Very Loyal,Married,3
13,Male,old,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,49,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Very Loyal,Single,4
14,Male,old,No,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,25,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Loyal,Single,5
15,Female,old,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,69,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Very Loyal,Married With Dependents ,6
16,Female,old,No,No,No,No,No,No,No,No,No,No,52,Yes,One year,No,Mailed check,20.65,1022.95,No,Very Loyal,Single,0
17,Male,old,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,71,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Very Loyal,Singe With Dependents,4
18,Female,old,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,10,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,New,Married With Dependents ,2
19,Female,old,No,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,21,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,Somewhat Loyal,Single,3
20,Male,youth,No,No,unknown,DSL,No,No,Yes,No,No,Yes,1,No,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,New,Single,2
21,Male,old,Yes,No,No,No,No,No,No,No,No,No,12,Yes,One year,No,Bank transfer (automatic),19.8,202.25,No,Somewhat Loyal,Married,0
22,Male,old,No,No,No,No,No,No,No,No,No,No,1,Yes,Month-to-month,No,Mailed check,20.15,20.15,Yes,New,Single,0
23,Female,old,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,58,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,No,Very Loyal,Married,2
24,Male,old,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,49,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Very Loyal,Married With Dependents ,3
25,Female,old,No,No,No,DSL,Yes,Yes,No,No,No,No,30,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Loyal,Single,2
26,Male,old,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,47,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Loyal,Married With Dependents ,3
27,Male,old,Yes,Yes,unknown,DSL,No,Yes,No,No,No,No,1,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,New,Married With Dependents ,1
28,Male,old,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,Very Loyal,Married,6
29,Female,old,No,Yes,No,DSL,No,No,No,No,Yes,Yes,17,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,Somewhat Loyal,Singe With Dependents,2
30,Female,youth,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,71,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Very Loyal,Married,4
31,Male,youth,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,2,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,New,Married,3
32,Female,old,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,27,Yes,One year,No,Mailed check,66.15,1874.45,No,Loyal,Married With Dependents ,4
33,Male,old,No,No,No,No,No,No,No,No,No,No,1,Yes,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,New,Single,0
34,Male,youth,No,No,No,DSL,No,No,No,No,No,No,1,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,New,Single,0
35,Female,old,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,72,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Very Loyal,Married With Dependents ,4
36,Male,old,No,No,No,Fiber optic,No,No,No,No,No,No,5,Yes,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,New,Single,0
37,Female,old,No,No,No,Fiber optic,No,No,Yes,No,No,No,46,Yes,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Loyal,Single,1
38,Male,old,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,34,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Loyal,Single,4
39,Female,old,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,11,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,New,Single,3
40,Male,old,Yes,Yes,No,DSL,No,Yes,No,No,No,No,10,Yes,One year,No,Mailed check,49.55,475.7,No,New,Married With Dependents ,1
41,Female,old,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,70,Yes,Two year,Yes,Credit card (automatic),69.2,4872.35,No,Very Loyal,Married With Dependents ,3
42,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,17,Yes,One year,No,Mailed check,20.75,418.25,No,Somewhat Loyal,Married With Dependents ,0
43,Female,old,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,63,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Very Loyal,Single,5
44,Female,old,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,13,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,No,Somewhat Loyal,Married,4
45,Female,old,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,49,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,Very Loyal,Single,1
46,Male,old,No,No,No,DSL,No,Yes,No,No,No,No,2,Yes,Month-to-month,No,Mailed check,49.25,97.0,No,New,Single,1
47,Female,old,No,No,No,Fiber optic,No,No,No,No,Yes,No,2,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,New,Single,1
48,Male,old,No,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,52,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,Very Loyal,Single,4
49,Female,old,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,69,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Very Loyal,Married With Dependents ,3
50,Female,youth,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,43,Yes,Month-to-month,Yes,Electronic check,90.25,3838.75,No,Loyal,Single,2
51,Female,old,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,15,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Somewhat Loyal,Single,4
52,Female,youth,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,No,25,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Loyal,Married,3
53,Female,youth,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No,8,Yes,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,New,Married,1
54,Female,youth,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,60,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,Very Loyal,Married With Dependents ,5
55,Male,youth,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,18,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Somewhat Loyal,Single,2
56,Female,old,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,63,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,Very Loyal,Married With Dependents ,3
57,Male,youth,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,66,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Very Loyal,Married With Dependents ,5
58,Female,old,Yes,Yes,Yes,No,No,No,No,No,No,No,34,Yes,Two year,No,Credit card (automatic),24.95,894.3,No,Loyal,Married With Dependents ,0
59,Female,old,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,72,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,Very Loyal,Single,4
60,Female,old,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,47,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Loyal,Married,3
61,Male,old,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,60,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,Very Loyal,Single,2
62,Male,old,Yes,No,unknown,DSL,Yes,Yes,Yes,No,No,No,72,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,Very Loyal,Married,3
63,Female,old,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,18,Yes,One year,Yes,Credit card (automatic),54.4,957.1,No,Somewhat Loyal,Married With Dependents ,2
64,Female,old,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,9,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,New,Single,2
65,Female,old,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes,3,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,New,Single,4
66,Male,old,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No,47,Yes,One year,Yes,Electronic check,78.9,3650.35,No,Loyal,Married,1
67,Female,old,No,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,31,Yes,Two year,No,Mailed check,79.2,2497.2,No,Loyal,Single,5
68,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,50,Yes,Two year,No,Bank transfer (automatic),20.15,930.9,No,Very Loyal,Married With Dependents ,0
69,Male,old,No,No,No,Fiber optic,Yes,No,Yes,No,No,No,10,Yes,Month-to-month,Yes,Mailed check,79.85,887.35,No,New,Single,2
70,Male,old,No,No,No,DSL,No,No,No,Yes,No,No,1,Yes,Month-to-month,No,Mailed check,49.05,49.05,No,New,Single,1
71,Female,old,Yes,Yes,No,No,No,No,No,No,No,No,52,Yes,One year,Yes,Electronic check,20.4,1090.65,No,Very Loyal,Married With Dependents ,0
72,Male,youth,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,64,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,Very Loyal,Married With Dependents ,5
73,Male,old,Yes,Yes,Yes,No,No,No,No,No,No,No,62,Yes,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Very Loyal,Married With Dependents ,0
